seller_id,total_orders,total_revenue,unique_products,avg_review,review_count,review_std,avg_freight,state,city,revenue_per_order,products_per_order,seller_tier,review_consistency,performance_score
0015a82c2db000af6aaaf3ae2ecb0532,3,2685.0,1,3.6666666666666665,3,2.3094010767585034,21.02,SP,santo andre,895.0,0.3333333333333333,Gold,0.41504090358644385,0.3003537784295524
001cca7ae9ae17fb1caed9dfb1094831,239,25080.03,11,3.902542372881356,236,1.4421592478187835,37.046610878661085,ES,cariacica,104.9373640167364,0.04602510460251046,Platinum,0.6484414637556991,0.37777991632083546
001e6ad469a905060d959994f1b41e4f,1,250.0,1,1.0,1,0.0,17.94,RJ,sao goncalo,250.0,1.0,Silver,10.0,0.08065367272776716
002100f778ceb8431b7a1020ff7ab48f,55,1234.5,24,3.981818181818182,55,1.4075314494336464,14.430181818181818,SP,franca,22.445454545454545,0.43636363636363634,Gold,0.6633360785777854,0.3217732904751687
003554e2dce176b5555353e4f3555ac8,1,120.0,1,5.0,1,0.0,19.38,GO,goiania,120.0,1.0,Bronze,10.0,0.40031376290932824
004c9cd9d87a3c30c522c48c4fc07416,170,19712.71,88,4.137724550898204,167,1.284364582780939,20.889588235294116,SP,ibitinga,115.95711764705882,0.5176470588235295,Platinum,0.7223530653978305,0.3825606077413868
00720abe85ba0859807595bbf045a33b,26,1007.5,9,3.6538461538461537,26,1.4125808349912634,12.153076923076924,SP,guarulhos,38.75,0.34615384615384615,Gold,0.6611216913942823,0.2949419934005939
00ab3eff1b5192e5f1a63bcecfee11c8,1,98.0,1,5.0,1,0.0,12.08,SP,sao paulo,98.0,1.0,Bronze,10.0,0.40025623970928476
00d8b143d12632bad99c0ad66ad52825,1,86.0,1,5.0,1,0.0,51.1,MG,belo horizonte,86.0,1.0,Bronze,10.0,0.4002248634183519
00ee68308b45bc5e2660cd833c3f81cc,172,20260.0,23,4.3274853801169595,171,1.1823725368772198,18.49220930232558,SP,sao paulo,117.79069767441861,0.13372093023255813,Platinum,0.7798045975276094,0.39917246826760594
00fc707aaaad2d31347cf883cd2dfe10,135,12684.9,19,3.791044776119403,134,1.5514951647041395,16.926592592592595,PR,maringa,93.96222222222222,0.14074074074074075,Platinum,0.6055119151251932,0.3364506748273659
010543a62bd80aa422851e79a3bc7540,2,1416.0,1,4.5,2,0.7071067811865476,15.975000000000001,SP,sao paulo,708.0,0.5,Gold,1.238993430992954,0.3637024023300731
010da0602d7774602cd1b3f5fb7b709e,5,849.5,1,1.0,5,0.0,46.05,SP,sao bernardo do campo,169.9,0.2,Gold,10.0,0.08222117992895277
011b0eaba87386a2ae96a7d32bb531d1,2,99.98,1,4.0,2,0.0,14.59,SP,pompeia,49.99,0.5,Bronze,10.0,0.3202614167972887
01266d4c46afa519678d16a8b683d325,3,90.25,3,5.0,3,0.0,15.743333333333334,PR,curitiba,30.083333333333332,1.0,Bronze,10.0,0.400235975854724
013900e863eace745d3ec7614cab5b1a,26,1619.7,19,4.730769230769231,26,0.7243033788512826,18.064230769230768,PR,curitiba,62.29615384615385,0.7307692307692307,Gold,1.2131455792326866,0.3826965533301962
014c0679dd340a0e338872e7ec85666a,15,7058.0,10,3.6666666666666665,15,1.5886502207249786,41.88733333333334,MG,timoteo,470.53333333333336,0.6666666666666666,Platinum,0.5921889493317779,0.3117878217836553
014d9a685fd57276679edd00e07089e5,12,729.88,3,3.8333333333333335,12,1.5275252316519468,12.244166666666667,PR,maringa,60.82333333333333,0.25,Silver,0.614429798415472,0.3085750772688374
0176f73cc1195f367f7b32db1e5b3aa8,39,4733.1,18,4.0256410256410255,39,1.4046385466352749,33.00025641025641,SP,ibitinga,121.36153846153847,0.46153846153846156,Platinum,0.6646114458759779,0.3344268756024607
